keyword,variation,country,language,location,intent,funnel_stage,service_category,audience,estimated_demand,competition,commercial_value,seasonality,current_ranking_url,intended_ranking_url,serp_features,priority_score,content_status,conversion_potential,notes
private chef bali,bali private chef,ID/AU/US/GB,en,Bali,Commercial,Decision,Private Chef,Villa guests,UNVERIFIED,High,Very High,Peak Jun-Sep & Dec-Jan,UNKNOWN — GSC required,https://mychef.id/,UNVERIFIED,SEED,Live,Very High,Core category term. Demand figure must come from GSC/Semrush before use.
catering bali,bali catering,ID/AU/US/GB,en,Bali,Commercial,Decision,Catering,Event hosts,UNVERIFIED,High,Very High,Peak Jun-Sep & Dec-Jan,UNKNOWN — GSC required,https://mychef.id/catering,UNVERIFIED,SEED,Live,Very High,Core category term.
villa catering bali,catering for villa bali,ID/AU/US/GB,en,Bali,Commercial,Decision,Catering,Villa guests,UNVERIFIED,Medium,Very High,Peak Jun-Sep,UNKNOWN — GSC required,https://mychef.id/catering/villa-catering,UNVERIFIED,SEED,Live,Very High,Highest fit with core service.
wedding catering bali,bali wedding caterer,AU/US/GB/SG,en,Bali,Commercial,Decision,Wedding,Destination couples + planners,UNVERIFIED,High,Very High,Peak May-Oct,UNKNOWN — GSC required,https://mychef.id/events/weddings,UNVERIFIED,SEED,Live,Very High,Highest booking value per conversion.
bbq catering bali,villa bbq bali,AU/US/GB,en,Bali,Commercial,Decision,BBQ,Villa groups,UNVERIFIED,Medium,High,Year round,UNKNOWN — GSC required,https://mychef.id/catering/bbq-catering,UNVERIFIED,SEED,Live,High,
private chef bali cost,how much does a private chef cost in bali,AU/US/GB,en,Bali,Informational,Consideration,Private Chef,Villa guests,UNVERIFIED,Medium,High,Year round,UNKNOWN — GSC required,https://mychef.id/blog/private-chef-cost-bali,UNVERIFIED,SEED,Live,High,High-intent informational. Must carry current verified pricing.
babi guling catering bali,babi guling catering,ID/AU,en,Bali,Commercial,Decision,Catering,Event hosts,UNVERIFIED,Low,High,Year round,UNKNOWN — GSC required,https://mychef.id/catering/babi-guling,UNVERIFIED,SEED,Live,High,Low competition + strong local differentiation.
grazing table bali,grazing tables bali,AU/US,en,Bali,Commercial,Decision,Catering,Event hosts,UNVERIFIED,Low,Medium,Year round,UNKNOWN — GSC required,https://mychef.id/catering/grazing-tables,UNVERIFIED,SEED,Live,Medium,
corporate catering bali,corporate retreat catering bali,SG/AU/ID,en,Bali,Commercial,Decision,Corporate,Corporate planners,UNVERIFIED,Medium,High,Q1 & Q3 offsites,UNKNOWN — GSC required,https://mychef.id/catering/corporate-catering,UNVERIFIED,SEED,Live,High,Repeat-booking potential.
private chef canggu,chef canggu,AU/US/GB,en,Canggu,Commercial,Decision,Private Chef,Villa guests,UNVERIFIED,Medium,High,Year round,UNKNOWN — GSC required,https://mychef.id/private-chef/canggu,UNVERIFIED,SEED,Live,High,Tier 1 area. Verify against /locations/canggu for cannibalisation.
retreat catering bali,yoga retreat catering bali,AU/US/GB,en,Bali/Ubud,Commercial,Decision,Retreat,Retreat organisers,UNVERIFIED,Low,High,Year round,UNKNOWN — GSC required,https://mychef.id/catering/retreat-catering,UNVERIFIED,SEED,Live,High,Multi-day = high value per booking.
bartender hire bali,mixologist bali,AU/US,en,Bali,Commercial,Decision,Staffing,Event hosts,UNVERIFIED,Low,Medium,Year round,UNKNOWN — GSC required,https://mychef.id/in-villa-service/bartenders,UNVERIFIED,SEED,Live,Medium,Strong attach-on to catering bookings.
