url,title,meta_description,h1,has_images,has_cta,status
https://mychef.id/,myCHEF.id — Private Chef &amp; Event Experiences in Bali,"Private chefs, villa catering, and full-service events in Bali. Italian fine dining and Michelin-trained leadership.",MISSING,no,yes,200
https://mychef.id/seminyak,Private Chef Seminyak | Beachfront Villa Dining — myCHEF,"Hire a private chef in Seminyak for beachfront villa dinners, parties, and fine dining. Michelin-trained chefs serving Petitenget and Oberoi area.",MISSING,no,yes,200
https://mychef.id/canggu,Private Chef Canggu | Surf Villas &amp; Family Feasts — myCHEF,"Private chef services in Canggu for families, surfers, and social groups. Healthy meal prep, poolside BBQs, and Mediterranean dinners.",MISSING,no,yes,200
https://mychef.id/uluwatu,Private Chef Uluwatu | Clifftop Fine Dining — myCHEF,Exclusive private chef service in Uluwatu for clifftop estates and wedding villas. Seafood-forward menus and sunset dining experiences.,MISSING,no,yes,200
https://mychef.id/ubud,Private Chef Ubud | Jungle Retreats &amp; Wellness — myCHEF,"Private chef and retreat catering in Ubud. Plant-forward menus, traditional Balinese feasts, and wellness-focused meal plans.",MISSING,no,yes,200
https://mychef.id/nusa-dua,Private Chef Nusa Dua | Resort Estates &amp; Events — myCHEF,Premium private chef services in Nusa Dua for gated estates and corporate retreats. Polished service and Michelin-standard menus.,MISSING,no,yes,200
https://mychef.id/jimbaran,Private Chef Jimbaran | Seafood &amp; Bay Dining — myCHEF,Seafood-focused private chef services in Jimbaran. Direct-from-market catch and beachfront villa catering.,MISSING,no,yes,200
https://mychef.id/sanur,Private Chef Sanur | Relaxed East Coast Dining — myCHEF,Private chef services in Sanur for families and long-stay guests. Classic Mediterranean and traditional Indonesian menus.,MISSING,no,yes,200
https://mychef.id/berawa,Private Chef Berawa | Modern Villa Hosting — myCHEF,Private chef and event catering in Berawa. Mediterranean menus for modern villas and social group stays.,MISSING,no,yes,200
https://mychef.id/pererenan,Private Chef Pererenan | Design Villas &amp; Privacy — myCHEF,Intimate private chef experiences in Pererenan. Fine dining and small-group catering for design-led villas.,MISSING,no,yes,200
https://mychef.id/bukit,Private Chef Bukit Peninsula | Clifftop Dining — myCHEF,"Private chef and event catering in the Bukit Peninsula — Bingin, Padang Padang, Ungasan. Clifftop fine dining for elopements and celebrations.",MISSING,no,yes,200
https://mychef.id/kuta,Private Chef Seminyak | Beachfront Villa Dining — myCHEF,"Hire a private chef in Seminyak for beachfront villa dinners, parties, and fine dining. Michelin-trained chefs serving Petitenget and Oberoi area.",MISSING,no,yes,200
https://mychef.id/legian,Private Chef Seminyak | Beachfront Villa Dining — myCHEF,"Hire a private chef in Seminyak for beachfront villa dinners, parties, and fine dining. Michelin-trained chefs serving Petitenget and Oberoi area.",MISSING,no,yes,200
https://mychef.id/kerobokan,Private Chef Seminyak | Beachfront Villa Dining — myCHEF,"Hire a private chef in Seminyak for beachfront villa dinners, parties, and fine dining. Michelin-trained chefs serving Petitenget and Oberoi area.",MISSING,no,yes,200
https://mychef.id/petitenget,Private Chef Seminyak | Beachfront Villa Dining — myCHEF,"Hire a private chef in Seminyak for beachfront villa dinners, parties, and fine dining. Michelin-trained chefs serving Petitenget and Oberoi area.",MISSING,no,yes,200
https://mychef.id/tanah-lot,Private Chef Canggu | Surf Villas &amp; Family Feasts — myCHEF,"Private chef services in Canggu for families, surfers, and social groups. Healthy meal prep, poolside BBQs, and Mediterranean dinners.",MISSING,no,yes,200
https://mychef.id/tabanan,Private Chef Canggu | Surf Villas &amp; Family Feasts — myCHEF,"Private chef services in Canggu for families, surfers, and social groups. Healthy meal prep, poolside BBQs, and Mediterranean dinners.",MISSING,no,yes,200
https://mychef.id/denpasar,Private Chef Sanur | Relaxed East Coast Dining — myCHEF,Private chef services in Sanur for families and long-stay guests. Classic Mediterranean and traditional Indonesian menus.,MISSING,no,yes,200
https://mychef.id/gianyar,Private Chef Ubud | Jungle Retreats &amp; Wellness — myCHEF,"Private chef and retreat catering in Ubud. Plant-forward menus, traditional Balinese feasts, and wellness-focused meal plans.",MISSING,no,yes,200
https://mychef.id/tegallalang,Private Chef Ubud | Jungle Retreats &amp; Wellness — myCHEF,"Private chef and retreat catering in Ubud. Plant-forward menus, traditional Balinese feasts, and wellness-focused meal plans.",MISSING,no,yes,200
