url,path,page_type,intent_category,sitemap_priority,lastmod,primary_keyword_cluster,commercial_objective,organic_clicks_90d,impressions_90d,enquiries_90d,decision,decision_rationale,owner,last_reviewed
https://mychef.id/,/,Homepage,Commercial hub,1.0,2026-05-20,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/seminyak,/locations/seminyak,Location guide,Informational,0.7,2026-05-13,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/canggu,/locations/canggu,Location guide,Informational,0.7,2026-06-21,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/uluwatu,/locations/uluwatu,Location guide,Informational,0.7,2026-05-28,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/ubud,/locations/ubud,Location guide,Informational,0.7,2026-05-22,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/nusa-dua,/locations/nusa-dua,Location guide,Informational,0.7,2026-06-26,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/jimbaran,/locations/jimbaran,Location guide,Informational,0.7,2026-05-14,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/sanur,/locations/sanur,Location guide,Informational,0.7,2026-05-26,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/pererenan,/locations/pererenan,Location guide,Informational,0.7,2026-06-13,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/bukit,/locations/bukit,Location guide,Informational,0.7,2026-06-09,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/kuta,/locations/kuta,Location guide,Informational,0.7,2026-06-05,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/locations/denpasar,/locations/denpasar,Location guide,Informational,0.7,2026-05-31,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
https://mychef.id/private-chef/seminyak,/private-chef/seminyak,Location service,Commercial,0.9,2026-05-23,TBD — pending keyword mapping,TBD — requires management confirmation,NO DATA — GSC access required,NO DATA — GSC access required,NO DATA — analytics access required,UNASSESSED,,,
